Title: Quantifying Chemical Tagging: Towards Robust Group Finding in the Galaxy
Authors: A. W. Mitschang (1,2), G. De Silva (3), S. Sharma (4), D. B. Zucker (1,2,3)
	 (1) Macquarie University Research Centre in Astronomy, Astrophysics & Astrophotonics, NSW 2109, Australia
	 (2) Department of Physics & Astronomy, Macquarie University, NSW 2109, Australia
	 (3) Australian Astronomical Observatory, PO Box 915, North Ryde, NSW 1670, Australia
	 (4) Sydney Institute for Astronomy, School of Physics, University of Sydney, NSW 2006, Australia
Table: 3
================================================================================
Byte-by-byte Description of file: lit_abund_database.dat
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  8 A8     --      Cluster  Cluster name
  10- 11 I2     --      CID      Unique ID of cluster (per study) in database
  13- 24 A12    --      Star     Star name as given in source text
  26- 29 I4     --      SID      Unique ID of star (per CID) in database
  31- 31 A1     --      Src      Reference code (see Note (1))
  33- 34 A2     --      El       Element species
  36- 42 F7.2   --      Abund    X/Fe abundance relative to Solar (Fe/H for Fe)
  44- 54 F7.2   --      Error    [?] Tabulated Error on abundance
--------------------------------------------------------------------------------
Note (1): The references for single letter reference codes are listed
     	  in table 2 of the published text and NASA Astrophysical
     	  Database System (ADS) BIBCODES are listed below. The ADS
     	  records can be viewed by following a URL of the format:

	        http://adsabs.harvard.edu/abs/{BIBCODE}

NGC2660   7 862           780 F Si    0.03      
NGC2660   7 862           780 F Ti   -0.02      
NGC3960   8 c3            781 F Ba    0.53      
NGC3960   8 c3            781 F Ca    0.01      
NGC3960   8 c3            781 F Cr    0.05      
NGC3960   8 c3            781 F Fe    0.00      
NGC3960   8 c3            781 F Na    0.14      
NGC3960   8 c3            781 F Ni    0.01      
NGC3960   8 c3            781 F Si    0.08      
NGC3960   8 c3            781 F Ti   -0.03      
NGC3960   8 c4            782 F Ba    0.55      
NGC3960   8 c4            782 F Ca    0.02      
NGC3960   8 c4            782 F Cr    0.06      
NGC3960   8 c4            782 F Fe    0.07      
NGC3960   8 c4            782 F Na    0.14      
NGC3960   8 c4            782 F Ni   -0.04      
NGC3960   8 c4            782 F Si   -0.01      
NGC3960   8 c4            782 F Ti    0.00      
NGC3960   8 c5            783 F Ba    0.47      
NGC3960   8 c5            783 F Ca    0.04      
NGC3960   8 c5            783 F Cr    0.06      
NGC3960   8 c5            783 F Fe    0.00      
NGC3960   8 c5            783 F Na    0.17      
NGC3960   8 c5            783 F Ni    0.02      
NGC3960   8 c5            783 F Si    0.04      
NGC3960   8 c5            783 F Ti   -0.03      
NGC3960   8 c6            784 F Ba    0.60      
NGC3960   8 c6            784 F Ca    0.00      
NGC3960   8 c6            784 F Cr    0.03      
NGC3960   8 c6            784 F Fe    0.02      
NGC3960   8 c6            784 F Na    0.16      
NGC3960   8 c6            784 F Ni   -0.03      
NGC3960   8 c6            784 F Si    0.03      
NGC3960   8 c6            784 F Ti   -0.04      
NGC3960   8 c8            785 F Ba    0.52      
NGC3960   8 c8            785 F Ca   -0.01      
NGC3960   8 c8            785 F Cr    0.00      
NGC3960   8 c8            785 F Fe    0.00      
NGC3960   8 c8            785 F Na    0.20      
NGC3960   8 c8            785 F Ni    0.04      
NGC3960   8 c8            785 F Si    0.01      
NGC3960   8 c8            785 F Ti   -0.07      
NGC3960   8 c9            786 F Ba    0.55      
NGC3960   8 c9            786 F Ca    0.07      
NGC3960   8 c9            786 F Cr    0.07      
NGC3960   8 c9            786 F Fe    0.02      
NGC3960   8 c9            786 F Na    0.14      
NGC3960   8 c9            786 F Ni   -0.04      
NGC3960   8 c9            786 F Si    0.11      
NGC3960   8 c9            786 F Ti   -0.04      
Cr261     9 17814         828 O Al    0.37 0.13 
Cr261     9 17814         828 O Ba    0.34 0.06 
Cr261     9 17814         828 O Ca    0.28 0.10 
Cr261     9 17814         828 O Co   -0.10 0.22 
Cr261     9 17814         828 O Cr   -0.02 0.19 
Cr261     9 17814         828 O Fe   -0.32 0.14 
Cr261     9 17814         828 O Mg    0.31 0.15 
Cr261     9 17814         828 O Mn    0.14 0.07 
Cr261     9 17814         828 O Na    0.87 0.17 
Cr261     9 17814         828 O Ni    0.16 0.18 
Cr261     9 17814         828 O Sc   -0.19 0.17 
Cr261     9 17814         828 O Si    0.13 0.11 
Cr261     9 17814         828 O Ti    0.28 0.23 
Cr261     9 2289          829 O Al    0.17 0.19 
Cr261     9 2289          829 O Ba    0.34 0.04 
Cr261     9 2289          829 O Ca    0.08 0.13 
Cr261     9 2289          829 O Co   -0.12 0.07 
