Title: Quantifying Chemical Tagging: Towards Robust Group Finding in the Galaxy
Authors: A. W. Mitschang (1,2), G. De Silva (3), S. Sharma (4), D. B. Zucker (1,2,3)
	 (1) Macquarie University Research Centre in Astronomy, Astrophysics & Astrophotonics, NSW 2109, Australia
	 (2) Department of Physics & Astronomy, Macquarie University, NSW 2109, Australia
	 (3) Australian Astronomical Observatory, PO Box 915, North Ryde, NSW 1670, Australia
	 (4) Sydney Institute for Astronomy, School of Physics, University of Sydney, NSW 2006, Australia
Table: 3
================================================================================
Byte-by-byte Description of file: lit_abund_database.dat
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  8 A8     --      Cluster  Cluster name
  10- 11 I2     --      CID      Unique ID of cluster (per study) in database
  13- 24 A12    --      Star     Star name as given in source text
  26- 29 I4     --      SID      Unique ID of star (per CID) in database
  31- 31 A1     --      Src      Reference code (see Note (1))
  33- 34 A2     --      El       Element species
  36- 42 F7.2   --      Abund    X/Fe abundance relative to Solar (Fe/H for Fe)
  44- 54 F7.2   --      Error    [?] Tabulated Error on abundance
--------------------------------------------------------------------------------
Note (1): The references for single letter reference codes are listed
     	  in table 2 of the published text and NASA Astrophysical
     	  Database System (ADS) BIBCODES are listed below. The ADS
     	  records can be viewed by following a URL of the format:

	        http://adsabs.harvard.edu/abs/{BIBCODE}

IC4665   36 P267          903 E Ni    0.19      
IC4665   36 P267          903 E Si    0.14      
IC4665   36 P267          903 E Ti    0.44      
IC4665   36 P64           904 E Ca   -0.09      
IC4665   36 P64           904 E Cr    0.25      
IC4665   36 P64           904 E Mg   -0.02      
IC4665   36 P64           904 E Ni    0.22      
IC4665   36 P64           904 E Si   -0.04      
IC4665   36 P64           904 E Ti    0.47      
IC4665   36 P71           905 E Ca    0.14      
IC4665   36 P71           905 E Cr   -0.20      
IC4665   36 P71           905 E Mg    0.08      
IC4665   36 P71           905 E Ni   -0.09      
IC4665   36 P71           905 E Si    0.25      
IC4665   36 P71           905 E Ti    0.23      
IC4665   36 P94           906 E Ca    0.17      
IC4665   36 P94           906 E Cr   -0.04      
IC4665   36 P94           906 E Mg    0.01      
IC4665   36 P94           906 E Ni   -0.04      
IC4665   36 P94           906 E Si   -0.03      
IC4665   36 P94           906 E Ti    0.19      
IC4665   36 P100          907 E Ca    0.14      
IC4665   36 P100          907 E Cr   -0.11      
IC4665   36 P100          907 E Mg   -0.14      
IC4665   36 P100          907 E Ni    0.04      
IC4665   36 P100          907 E Si    0.40      
IC4665   36 P100          907 E Ti    0.25      
IC4665   36 P332          908 E Ca   -0.23      
IC4665   36 P332          908 E Cr   -0.12      
IC4665   36 P332          908 E Mg    0.14      
IC4665   36 P332          908 E Ni    0.33      
IC4665   36 P332          908 E Si    0.29      
IC4665   36 P332          908 E Ti    0.31      
IC4665   36 P349          909 E Ca   -0.10      
IC4665   36 P349          909 E Cr   -0.01      
IC4665   36 P349          909 E Mg   -0.05      
IC4665   36 P349          909 E Ni    0.34      
IC4665   36 P349          909 E Si    0.47      
IC4665   36 P349          909 E Ti    0.29      
IC4665   36 P352          910 E Ca   -0.06      
IC4665   36 P352          910 E Cr   -0.12      
IC4665   36 P352          910 E Mg    0.17      
IC4665   36 P352          910 E Ni    0.29      
IC4665   36 P352          910 E Si    0.27      
IC4665   36 P352          910 E Ti    0.38      
NGC3532  37 19            916 M Ca    0.10 0.12 
NGC3532  37 19            916 M Co    0.03 0.13 
NGC3532  37 19            916 M Cr    0.00 0.10 
NGC3532  37 19            916 M Mg   -0.07      
NGC3532  37 19            916 M Ni   -0.01 0.07 
NGC3532  37 19            916 M Sc   -0.04      
NGC3532  37 19            916 M Si    0.06 0.06 
NGC3532  37 19            916 M Ti   -0.01 0.08 
NGC3532  37 19            916 M V    -0.01 0.09 
NGC3532  37 100           917 M Ca    0.02 0.06 
NGC3532  37 100           917 M Co    0.01 0.14 
NGC3532  37 100           917 M Cr   -0.04 0.11 
NGC3532  37 100           917 M Mg   -0.03      
NGC3532  37 100           917 M Ni    0.00 0.07 
NGC3532  37 100           917 M Sc   -0.07      
NGC3532  37 100           917 M Si    0.14 0.09 
NGC3532  37 100           917 M Ti   -0.04 0.08 
NGC3532  37 100           917 M V    -0.04 0.13 
NGC3532  37 122           918 M Ca    0.14 0.12 
NGC3532  37 122           918 M Co    0.12 0.14 
NGC3532  37 122           918 M Cr    0.06 0.17 
NGC3532  37 122           918 M Mg   -0.03      
NGC3532  37 122           918 M Ni   -0.01 0.08 
NGC3532  37 122           918 M Sc   -0.08      
NGC3532  37 122           918 M Si    0.08 0.16 
NGC3532  37 122           918 M Ti   -0.03 0.13 
NGC3532  37 122           918 M V     0.05 0.10 
NGC3532  37 596           919 M Ca    0.13 0.11 
NGC3532  37 596           919 M Co    0.10 0.18 
NGC3532  37 596           919 M Cr    0.03 0.06 
NGC3532  37 596           919 M Mg    0.00      
NGC3532  37 596           919 M Ni   -0.01 0.09 
NGC3532  37 596           919 M Sc    0.04      
NGC3532  37 596           919 M Si    0.09 0.11 
NGC3532  37 596           919 M Ti   -0.02 0.10 
NGC3532  37 596           919 M V     0.02 0.14 
NGC3532  37 670           920 M Ca    0.04 0.04 
NGC3532  37 670           920 M Co    0.13 0.25 
NGC3532  37 670           920 M Cr   -0.01 0.13 
NGC3532  37 670           920 M Mg   -0.23      
NGC3532  37 670           920 M Ni    0.16 0.15 
NGC3532  37 670           920 M Sc    0.12      
NGC3532  37 670           920 M Si    0.14 0.11 
NGC3532  37 670           920 M Ti    0.01 0.09 
NGC3532  37 670           920 M V     0.16 0.16 
NGC4756  38 12            911 M Ca    0.07 0.10 
NGC4756  38 12            911 M Co    0.05 0.11 
NGC4756  38 12            911 M Cr    0.03 0.08 
NGC4756  38 12            911 M Mg   -0.02      
NGC4756  38 12            911 M Ni   -0.02 0.05 
NGC4756  38 12            911 M Sc    0.01      
NGC4756  38 12            911 M Si    0.04 0.09 
NGC4756  38 12            911 M Ti   -0.04 0.11 
NGC4756  38 12            911 M V     0.03 0.14 
NGC4756  38 14            912 M Ca    0.03 0.05 
NGC4756  38 14            912 M Co    0.12 0.15 
NGC4756  38 14            912 M Cr    0.11 0.10 
NGC4756  38 14            912 M Mg   -0.05      
NGC4756  38 14            912 M Ni    0.03 0.09 
NGC4756  38 14            912 M Sc    0.19      
NGC4756  38 14            912 M Si    0.10 0.07 
NGC4756  38 14            912 M Ti   -0.03 0.16 
NGC4756  38 14            912 M V     0.09 0.12 
NGC4756  38 28            913 M Ca   -0.05 0.04 
NGC4756  38 28            913 M Co    0.05 0.19 
NGC4756  38 28            913 M Cr   -0.04 0.18 
NGC4756  38 28            913 M Mg   -0.06      
NGC4756  38 28            913 M Ni   -0.01 0.05 
NGC4756  38 28            913 M Sc    0.02      
NGC4756  38 28            913 M Si    0.10 0.09 
NGC4756  38 28            913 M Ti   -0.06 0.05 
NGC4756  38 28            913 M V     0.01 0.15 
NGC4756  38 38            914 M Ca    0.04 0.09 
NGC4756  38 38            914 M Co    0.02 0.14 
NGC4756  38 38            914 M Cr    0.05 0.08 
NGC4756  38 38            914 M Mg   -0.05      
NGC4756  38 38            914 M Ni   -0.02 0.05 
NGC4756  38 38            914 M Sc    0.03      
NGC4756  38 38            914 M Si    0.01 0.06 
NGC4756  38 38            914 M Ti   -0.04 0.10 
NGC4756  38 38            914 M V    -0.06 0.08 
NGC4756  38 69            915 M Ca    0.04 0.09 
NGC4756  38 69            915 M Co    0.06 0.14 
NGC4756  38 69            915 M Cr    0.03 0.09 
NGC4756  38 69            915 M Mg   -0.07      
NGC4756  38 69            915 M Ni   -0.01 0.05 
NGC4756  38 69            915 M Sc    0.07      
NGC4756  38 69            915 M Si    0.02 0.04 
NGC4756  38 69            915 M Ti   -0.06 0.04 
NGC4756  38 69            915 M V    -0.05 0.07 
NGC5822  39 201           921 M Ca    0.03 0.15 
NGC5822  39 201           921 M Co    0.10 0.15 
NGC5822  39 201           921 M Cr    0.06 0.10 
NGC5822  39 201           921 M Mg   -0.01      
NGC5822  39 201           921 M Ni    0.01 0.06 
NGC5822  39 201           921 M Sc    0.00      
NGC5822  39 201           921 M Si    0.06 0.07 
NGC5822  39 201           921 M Ti    0.04 0.04 
NGC5822  39 201           921 M V     0.05 0.14 
NGC5822  39 316           922 M Ca    0.00 0.06 
NGC5822  39 316           922 M Co    0.03 0.15 
NGC5822  39 316           922 M Cr    0.03 0.10 
NGC5822  39 316           922 M Mg   -0.02      
NGC5822  39 316           922 M Ni   -0.03 0.05 
NGC5822  39 316           922 M Sc   -0.17      
NGC5822  39 316           922 M Si   -0.04 0.04 
NGC5822  39 316           922 M Ti   -0.02 0.10 
NGC5822  39 316           922 M V     0.00 0.08 
NGC5822  39 443           923 M Ca    0.06 0.14 
NGC5822  39 443           923 M Co    0.08 0.15 
NGC5822  39 443           923 M Cr    0.04 0.10 
NGC5822  39 443           923 M Mg    0.03      
NGC5822  39 443           923 M Ni    0.05 0.05 
NGC5822  39 443           923 M Sc    0.06      
NGC5822  39 443           923 M Si    0.17 0.08 
NGC5822  39 443           923 M Ti   -0.04 0.06 
NGC5822  39 443           923 M V     0.02 0.13 
NGC5822  39 1             924 M Ca   -0.02 0.06 
NGC5822  39 1             924 M Co    0.06 0.20 
NGC5822  39 1             924 M Cr   -0.03 0.17 
NGC5822  39 1             924 M Ni    0.05 0.09 
NGC5822  39 1             924 M Sc    0.03      
NGC5822  39 1             924 M Si    0.13 0.12 
NGC5822  39 1             924 M Ti   -0.02 0.08 
NGC5822  39 1             924 M V     0.11 0.16 
NGC5822  39 240           925 M Ca    0.00 0.08 
NGC5822  39 240           925 M Co    0.12 0.20 
NGC5822  39 240           925 M Cr    0.02 0.07 
NGC5822  39 240           925 M Ni    0.08 0.13 
NGC5822  39 240           925 M Sc    0.03      
NGC5822  39 240           925 M Si    0.11 0.09 
NGC5822  39 240           925 M Ti   -0.01 0.08 
NGC5822  39 240           925 M V     0.12 0.15 
Pleiades 40 120           756 A Fe    0.07      
Pleiades 40 120           756 A Na   -0.10      
Pleiades 40 120           756 A Ni   -0.27      
Pleiades 40 120           756 A Si   -0.12      
Pleiades 40 120           756 A Ti   -0.07      
Pleiades 40 233           757 A Fe    0.02      
Pleiades 40 233           757 A Na   -0.09      
Pleiades 40 233           757 A Ni   -0.05      
Pleiades 40 233           757 A Si   -0.06      
Pleiades 40 233           757 A Ti   -0.13      
Pleiades 40 489           758 A Fe    0.01      
Pleiades 40 489           758 A Na   -0.22      
Pleiades 40 489           758 A Ni   -0.17      
Pleiades 40 489           758 A Si   -0.11      
Pleiades 40 489           758 A Ti   -0.02      
Pleiades 40 514           759 A Fe    0.05      
Pleiades 40 514           759 A Na   -0.14      
Pleiades 40 514           759 A Ni   -0.13      
Pleiades 40 514           759 A Si    0.01      
Pleiades 40 514           759 A Ti   -0.14      
Pleiades 40 761           760 A Fe    0.06      
Pleiades 40 761           760 A Na    0.13      
Pleiades 40 761           760 A Ni   -0.19      
Pleiades 40 761           760 A Si   -0.12      
Pleiades 40 761           760 A Ti   -0.05      
Pleiades 40 923           761 A Fe    0.19      
Pleiades 40 923           761 A Na   -0.38      
Pleiades 40 923           761 A Ni   -0.29      
Pleiades 40 923           761 A Si   -0.20      
Pleiades 40 923           761 A Ti   -0.05      
Pleiades 40 996           762 A Fe    0.08      
Pleiades 40 996           762 A Na   -0.17      
Pleiades 40 996           762 A Ni   -0.22      
Pleiades 40 996           762 A Si   -0.12      
Pleiades 40 996           762 A Ti   -0.09      
Pleiades 40 1015          763 A Fe    0.04      
Pleiades 40 1015          763 A Na   -0.11      
Pleiades 40 1015          763 A Ni   -0.17      
Pleiades 40 1015          763 A Si   -0.09      
Pleiades 40 1015          763 A Ti   -0.16      
Pleiades 40 1182          764 A Fe    0.10      
Pleiades 40 1182          764 A Na   -0.14      
Pleiades 40 1182          764 A Ni   -0.16      
Pleiades 40 1182          764 A Si   -0.13      
Pleiades 40 1182          764 A Ti   -0.01      
Pleiades 40 1200          765 A Fe    0.04      
Pleiades 40 1200          765 A Na    0.17      
Pleiades 40 1200          765 A Ni   -0.03      
Pleiades 40 1200          765 A Si   -0.04      
Pleiades 40 1200          765 A Ti   -0.14      
Pleiades 40 1207          766 A Fe    0.08      
Pleiades 40 1207          766 A Na   -0.23      
Pleiades 40 1207          766 A Ni   -0.17      
Pleiades 40 1207          766 A Si   -0.06      
Pleiades 40 1207          766 A Ti   -0.08      
Pleiades 40 1215          767 A Fe    0.06      
Pleiades 40 1215          767 A Na   -0.17      
Pleiades 40 1215          767 A Ni   -0.17      
Pleiades 40 1215          767 A Si   -0.09      
Pleiades 40 1215          767 A Ti   -0.14      
Pleiades 40 1514          768 A Fe    0.17      
Pleiades 40 1514          768 A Na   -0.16      
Pleiades 40 1514          768 A Ni   -0.27      
Pleiades 40 1514          768 A Si   -0.10      
Pleiades 40 1514          768 A Ti    0.06      
Pleiades 40 1794          769 A Fe    0.09      
Pleiades 40 1794          769 A Na   -0.20      
Pleiades 40 1794          769 A Ni   -0.11      
Pleiades 40 1794          769 A Si   -0.05      
Pleiades 40 1794          769 A Ti   -0.03      
Pleiades 40 1797          770 A Fe    0.00      
Pleiades 40 1797          770 A Na   -0.23      
Pleiades 40 1797          770 A Ni   -0.14      
Pleiades 40 1797          770 A Si    0.00      
Pleiades 40 1797          770 A Ti    0.00      
Pleiades 40 1856          771 A Fe    0.13      
Pleiades 40 1856          771 A Na   -0.02      
Pleiades 40 1856          771 A Ni   -0.11      
Pleiades 40 1856          771 A Si   -0.05      
Pleiades 40 1856          771 A Ti   -0.02      
Pleiades 40 1924          772 A Fe    0.03      
Pleiades 40 1924          772 A Na   -0.23      
Pleiades 40 1924          772 A Ni   -0.17      
Pleiades 40 1924          772 A Si   -0.07      
Pleiades 40 1924          772 A Ti   -0.11      
Pleiades 40 2172          773 A Fe    0.05      
Pleiades 40 2172          773 A Na   -0.22      
Pleiades 40 2172          773 A Ni   -0.14      
Pleiades 40 2172          773 A Si   -0.07      
Pleiades 40 2172          773 A Ti   -0.03      
Pleiades 40 2506          774 A Fe    0.13      
Pleiades 40 2506          774 A Na   -0.14      
Pleiades 40 2506          774 A Ni   -0.20      
Pleiades 40 2506          774 A Si   -0.06      
Pleiades 40 2506          774 A Ti    0.06      
Pleiades 40 3179          775 A Fe    0.08      
Pleiades 40 3179          775 A Na   -0.04      
Pleiades 40 3179          775 A Ni   -0.07      
Pleiades 40 3179          775 A Si   -0.06      
Pleiades 40 3179          775 A Ti   -0.16      
M67      41 F84           849 T Al    0.10 0.01 
M67      41 F84           849 T Ba    0.08      
M67      41 F84           849 T Ca    0.06 0.16 
M67      41 F84           849 T Ce    0.11 0.02 
M67      41 F84           849 T Co    0.05 0.14 
M67      41 F84           849 T Cr    0.10 0.11 
M67      41 F84           849 T Cu    0.14 0.06 
M67      41 F84           849 T Eu    0.12      
M67      41 F84           849 T Fe   -0.02 0.11 
M67      41 F84           849 T La    0.14 0.04 
M67      41 F84           849 T Mg    0.08      
M67      41 F84           849 T Mn   -0.08 0.12 
M67      41 F84           849 T Na    0.19      
M67      41 F84           849 T Ni    0.07 0.15 
M67      41 F84           849 T Sc    0.12 0.20 
M67      41 F84           849 T Si    0.14 0.08 
M67      41 F84           849 T Ti    0.04 0.17 
M67      41 F84           849 T V     0.14 0.14 
M67      41 F84           849 T Y     0.02 0.22 
M67      41 F84           849 T Zr   -0.16 0.11 
M67      41 F105          850 T Al    0.04 0.07 
M67      41 F105          850 T Ba   -0.04      
M67      41 F105          850 T Ca   -0.03 0.19 
M67      41 F105          850 T Ce    0.11 0.16 
M67      41 F105          850 T Co    0.16 0.17 
M67      41 F105          850 T Cr    0.12 0.22 
M67      41 F105          850 T Cu    0.17 0.03 
M67      41 F105          850 T Eu    0.25      
M67      41 F105          850 T Fe   -0.05 0.12 
M67      41 F105          850 T La    0.25 0.01 
M67      41 F105          850 T Mg    0.07      
M67      41 F105          850 T Mn    0.07 0.24 
M67      41 F105          850 T Na    0.05      
M67      41 F105          850 T Ni    0.10 0.15 
M67      41 F105          850 T Sc    0.14 0.21 
M67      41 F105          850 T Si    0.14 0.08 
M67      41 F105          850 T Ti   -0.02 0.19 
M67      41 F105          850 T V     0.14 0.18 
M67      41 F105          850 T Y     0.12 0.25 
M67      41 F105          850 T Zr   -0.29 0.09 
M67      41 F108          851 T Al    0.17 0.05 
M67      41 F108          851 T Ba    0.20      
M67      41 F108          851 T Ca    0.11 0.18 
M67      41 F108          851 T Ce    0.06 0.15 
M67      41 F108          851 T Co    0.17 0.16 
M67      41 F108          851 T Cr    0.23 0.17 
M67      41 F108          851 T Cu    0.20 0.05 
M67      41 F108          851 T Eu    0.02      
M67      41 F108          851 T Fe   -0.02 0.12 
M67      41 F108          851 T La    0.19      
M67      41 F108          851 T Mg    0.05      
M67      41 F108          851 T Mn   -0.04 0.02 
M67      41 F108          851 T Na    0.17      
M67      41 F108          851 T Ni    0.04 0.17 
M67      41 F108          851 T Sc    0.07 0.20 
M67      41 F108          851 T Si    0.05 0.10 
M67      41 F108          851 T Ti    0.22 0.22 
M67      41 F108          851 T V     0.41 0.14 
M67      41 F108          851 T Y     0.13 0.18 
M67      41 F108          851 T Zr   -0.11 0.11 
M67      41 F141          852 T Al    0.08 0.01 
M67      41 F141          852 T Ba    0.07      
M67      41 F141          852 T Ca    0.09 0.12 
M67      41 F141          852 T Ce    0.11 0.09 
M67      41 F141          852 T Co    0.05 0.19 
M67      41 F141          852 T Cr    0.12 0.17 
M67      41 F141          852 T Cu    0.08 0.15 
M67      41 F141          852 T Eu    0.11      
M67      41 F141          852 T Fe   -0.01 0.11 
M67      41 F141          852 T La   -0.06      
M67      41 F141          852 T Mg    0.11      
M67      41 F141          852 T Mn    0.08 0.24 
M67      41 F141          852 T Na    0.25      
M67      41 F141          852 T Ni    0.05 0.15 
M67      41 F141          852 T Sc    0.09 0.15 
M67      41 F141          852 T Si    0.11 0.10 
M67      41 F141          852 T Ti   -0.03 0.17 
M67      41 F141          852 T V     0.09 0.12 
M67      41 F141          852 T Y    -0.12 0.15 
M67      41 F141          852 T Zr   -0.17 0.19 
M67      41 F151          853 T Al    0.14 0.06 
M67      41 F151          853 T Ba    0.13      
M67      41 F151          853 T Ca    0.06 0.17 
M67      41 F151          853 T Ce    0.09 0.12 
M67      41 F151          853 T Co    0.08 0.15 
M67      41 F151          853 T Cr    0.03 0.20 
M67      41 F151          853 T Cu    0.11 0.12 
M67      41 F151          853 T Eu    0.09      
M67      41 F151          853 T Fe    0.01 0.12 
M67      41 F151          853 T La    0.05 0.13 
M67      41 F151          853 T Mg   -0.01      
M67      41 F151          853 T Mn    0.04 0.23 
M67      41 F151          853 T Na    0.20      
M67      41 F151          853 T Ni    0.04 0.14 
M67      41 F151          853 T Sc    0.10 0.17 
M67      41 F151          853 T Si    0.05 0.06 
M67      41 F151          853 T Ti    0.02 0.20 
M67      41 F151          853 T V     0.06 0.18 
M67      41 F151          853 T Y    -0.12 0.08 
M67      41 F151          853 T Zr   -0.19 0.21 
M67      41 F164          854 T Al    0.16 0.02 
M67      41 F164          854 T Ba    0.02      
M67      41 F164          854 T Ca    0.07 0.18 
M67      41 F164          854 T Ce    0.03 0.21 
M67      41 F164          854 T Co    0.04 0.16 
M67      41 F164          854 T Cr    0.07 0.14 
M67      41 F164          854 T Cu    0.17 0.07 
M67      41 F164          854 T Eu    0.00      
M67      41 F164          854 T Fe    0.00 0.07 
M67      41 F164          854 T La    0.17 0.02 
M67      41 F164          854 T Mg    0.10      
M67      41 F164          854 T Mn    0.11 0.17 
M67      41 F164          854 T Na    0.20      
M67      41 F164          854 T Ni    0.06 0.18 
M67      41 F164          854 T Sc    0.09 0.17 
M67      41 F164          854 T Si    0.07 0.05 
M67      41 F164          854 T Ti    0.03 0.17 
M67      41 F164          854 T V     0.13 0.13 
M67      41 F164          854 T Y     0.02 0.23 
M67      41 F164          854 T Zr   -0.20 0.15 
M67      41 F170          855 T Al    0.14 0.01 
M67      41 F170          855 T Ba    0.14      
M67      41 F170          855 T Ca    0.06 0.20 
M67      41 F170          855 T Ce    0.06 0.12 
M67      41 F170          855 T Co    0.10 0.23 
M67      41 F170          855 T Cr    0.13 0.20 
M67      41 F170          855 T Cu    0.20 0.10 
M67      41 F170          855 T Eu   -0.03      
M67      41 F170          855 T Fe   -0.02 0.14 
M67      41 F170          855 T La    0.20 0.01 
M67      41 F170          855 T Mg    0.07      
M67      41 F170          855 T Mn    0.07 0.28 
M67      41 F170          855 T Na    0.17      
M67      41 F170          855 T Ni    0.00 0.19 
M67      41 F170          855 T Sc    0.06 0.22 
M67      41 F170          855 T Si    0.04 0.07 
M67      41 F170          855 T Ti    0.19 0.21 
M67      41 F170          855 T V     0.28 0.17 
M67      41 F170          855 T Y     0.16 0.14 
M67      41 F170          855 T Zr   -0.16 0.15 
M67      41 F224          856 T Al    0.17 0.03 
M67      41 F224          856 T Ba   -0.07      
M67      41 F224          856 T Ca   -0.03 0.25 
M67      41 F224          856 T Ce    0.13 0.10 
M67      41 F224          856 T Co    0.07 0.17 
M67      41 F224          856 T Cr    0.04 0.22 
M67      41 F224          856 T Cu    0.01 0.19 
M67      41 F224          856 T Eu   -0.04      
M67      41 F224          856 T Fe   -0.11 0.12 
M67      41 F224          856 T La    0.10 0.01 
M67      41 F224          856 T Mg    0.17      
M67      41 F224          856 T Mn   -0.14 0.11 
M67      41 F224          856 T Na    0.20      
M67      41 F224          856 T Ni   -0.05 0.18 
M67      41 F224          856 T Sc    0.11 0.19 
M67      41 F224          856 T Si    0.17 0.05 
M67      41 F224          856 T Ti   -0.05 0.20 
M67      41 F224          856 T V     0.05 0.14 
M67      41 F224          856 T Y    -0.14 0.10 
M67      41 F224          856 T Zr    0.00 0.23 
M67      41 F266          857 T Al    0.20 0.07 
M67      41 F266          857 T Ba    0.05      
M67      41 F266          857 T Ca   -0.01 0.19 
M67      41 F266          857 T Ce    0.08 0.10 
M67      41 F266          857 T Co    0.03 0.16 
M67      41 F266          857 T Cr    0.03 0.22 
M67      41 F266          857 T Cu    0.06 0.07 
M67      41 F266          857 T Eu    0.12      
M67      41 F266          857 T Fe   -0.02 0.10 
M67      41 F266          857 T La    0.10 0.01 
M67      41 F266          857 T Mg    0.14      
M67      41 F266          857 T Mn    0.01 0.23 
M67      41 F266          857 T Na    0.22      
M67      41 F266          857 T Ni    0.03 0.13 
M67      41 F266          857 T Sc    0.08 0.15 
M67      41 F266          857 T Si    0.09 0.08 
M67      41 F266          857 T Ti   -0.05 0.18 
M67      41 F266          857 T V    -0.04 0.12 
M67      41 F266          857 T Y    -0.02 0.11 
M67      41 F266          857 T Zr   -0.27 0.20 
NGC3114  44 hd87109      1016 P Al   -0.03 0.19 
NGC3114  44 hd87109      1016 P Ca    0.04 0.18 
NGC3114  44 hd87109      1016 P Ce    0.02 0.26 
NGC3114  44 hd87109      1016 P Cr   -0.20      
NGC3114  44 hd87109      1016 P La    0.28 0.22 
NGC3114  44 hd87109      1016 P Mg    0.17      
NGC3114  44 hd87109      1016 P Nd    0.22 0.28 
NGC3114  44 hd87109      1016 P Ni    0.03 0.28 
NGC3114  44 hd87109      1016 P Sc    0.05 0.19 
NGC3114  44 hd87109      1016 P Si    0.03 0.22 
NGC3114  44 hd87109      1016 P Ti   -0.08 0.20 
NGC3114  44 hd87109      1016 P Y     0.04 0.26 
NGC3114  44 hd87109      1016 P Zr    0.09 0.17 
NGC3114  44 hd87479      1017 P Al   -0.04 0.20 
NGC3114  44 hd87479      1017 P Ca   -0.09 0.17 
NGC3114  44 hd87479      1017 P Cr    0.06      
NGC3114  44 hd87479      1017 P La   -0.17 0.17 
NGC3114  44 hd87479      1017 P Mg    0.17      
NGC3114  44 hd87479      1017 P Ni    0.01 0.19 
NGC3114  44 hd87479      1017 P Sc   -0.10 0.20 
NGC3114  44 hd87479      1017 P Si   -0.08 0.19 
NGC3114  44 hd87479      1017 P Ti   -0.10 0.07 
NGC3114  44 hd87479      1017 P Zr   -0.20 0.28 
NGC3114  44 hd87526      1018 P Al    0.17 0.16 
NGC3114  44 hd87526      1018 P Ca    0.13 0.12 
NGC3114  44 hd87526      1018 P Ce    0.13 0.27 
NGC3114  44 hd87526      1018 P Cr    0.17 0.13 
NGC3114  44 hd87526      1018 P La    0.02 0.22 
NGC3114  44 hd87526      1018 P Mg    0.59      
NGC3114  44 hd87526      1018 P Nd    0.26 0.24 
NGC3114  44 hd87526      1018 P Ni   -0.10 0.20 
NGC3114  44 hd87526      1018 P Sc   -0.01 0.15 
NGC3114  44 hd87526      1018 P Si    0.35 0.17 
NGC3114  44 hd87526      1018 P Ti   -0.14 0.13 
NGC3114  44 hd87526      1018 P Y     0.02 0.14 
NGC3114  44 hd87566      1019 P Al   -0.16 0.18 
NGC3114  44 hd87566      1019 P Ca    0.00 0.21 
NGC3114  44 hd87566      1019 P Ce    0.17 0.26 
NGC3114  44 hd87566      1019 P Cr   -0.05      
NGC3114  44 hd87566      1019 P La    0.26 0.23 
NGC3114  44 hd87566      1019 P Mg    0.17      
NGC3114  44 hd87566      1019 P Nd    0.34      
NGC3114  44 hd87566      1019 P Ni   -0.07 0.22 
NGC3114  44 hd87566      1019 P Sc    0.00 0.25 
NGC3114  44 hd87566      1019 P Si    0.00 0.21 
NGC3114  44 hd87566      1019 P Ti   -0.27 0.19 
NGC3114  44 hd87566      1019 P Y    -0.02 0.31 
NGC3114  44 hd87566      1019 P Zr   -0.16 0.18 
NGC3114  44 hd87833      1020 P Al    0.07 0.17 
NGC3114  44 hd87833      1020 P Ca   -0.10 0.15 
NGC3114  44 hd87833      1020 P Ce    0.17 0.19 
NGC3114  44 hd87833      1020 P Cr   -0.13      
NGC3114  44 hd87833      1020 P La    0.25 0.19 
NGC3114  44 hd87833      1020 P Mg    0.20 0.17 
NGC3114  44 hd87833      1020 P Nd    0.26 0.14 
NGC3114  44 hd87833      1020 P Ni   -0.13 0.17 
NGC3114  44 hd87833      1020 P Sc   -0.14 0.12 
NGC3114  44 hd87833      1020 P Si    0.07 0.18 
NGC3114  44 hd87833      1020 P Ti    0.05 0.19 
NGC3114  44 hd87833      1020 P Y    -0.04 0.08 
NGC3114  44 hd87833      1020 P Zr    0.20 0.09 
NGC3114  44 hd304859     1021 P Al    0.16 0.32 
NGC3114  44 hd304859     1021 P Ca    0.10 0.25 
NGC3114  44 hd304859     1021 P Ce    0.23 0.26 
NGC3114  44 hd304859     1021 P Cr   -0.11      
NGC3114  44 hd304859     1021 P La    0.25 0.23 
NGC3114  44 hd304859     1021 P Nd    0.17 0.20 
NGC3114  44 hd304859     1021 P Ni   -0.08 0.22 
NGC3114  44 hd304859     1021 P Sc    0.10 0.23 
NGC3114  44 hd304859     1021 P Si    0.31 0.21 
NGC3114  44 hd304859     1021 P Ti   -0.13      
NGC3114  44 hd304859     1021 P Y    -0.04 0.25 
NGC3114  44 hd304859     1021 P Zr   -0.06 0.20 
NGC3114  44 hd304864     1022 P Ca   -0.11      
NGC3114  44 hd304864     1022 P Ce    0.12      
NGC3114  44 hd304864     1022 P Cr   -0.20      
NGC3114  44 hd304864     1022 P La    0.28      
NGC3114  44 hd304864     1022 P Nd    0.31 0.17 
NGC3114  44 hd304864     1022 P Ni   -0.14 0.24 
NGC3114  44 hd304864     1022 P Sc    0.20 0.23 
NGC3114  44 hd304864     1022 P Si    0.16 0.21 
NGC3114  44 hd304864     1022 P Ti   -0.22      
NGC3114  44 hd304864     1022 P Zr   -0.06 0.08 
NGC6192  45 9            1027 H Al   -0.08 0.14 
NGC6192  45 9            1027 H Ca   -0.08 0.13 
NGC6192  45 9            1027 H Cr   -0.09 0.14 
NGC6192  45 9            1027 H Fe    0.19 0.07 
